year,party,seats,perc_change,up_down
2021,SPD,206,5.2,up
2021,CDU/CSU,196,8.9,down
2021,The Greens,118,5.8,up
2021,FDP,92,0.7,up
2021,AfD,83,2.3,down
2021,Die Linke,39,4.3,down
2021,Other,1,,
2017,SPD,153,,
2017,CDU/CSU,246,,
2017,The Greens,67,,
2017,FDP,80,,
2017,AfD,94,,
2017,Die Linke,69,,
